Year,Average flow
1950,2044
1951,2470
1952,2536
1953,2132
1954,2592
1955,3488
1956,3328
1957,2921
1958,3087
1959,2750
1960,2861
1961,2657
1962,2859
1963,2900
1964,2546
1965,4249
1966,4044
1967,3479
1968,2692
1969,2338
1970,3766
1971,2117
1972,2352
1973,2327
1974,3051
1975,3083
1976,2299
1977,2877
1978,2511
1979,2985
1980,2989
1981,3156
1982,2919
1983,2545
1984,2295
1985,2637
1986,2484
1987,3259
1988,2964
1989,2530
1990,2202
1991,2312
1992,2520
1993,2466
1994,2622
1995,3076
1996,2864
1997,2723
1998,2571
1999,3316
2000,3209
2001,2896
2002,3298
2003,2236
2004,2595
2005,2943
2006,3106
2007,2525
2008,2514
2009,3086
2010,3428
2011,2440
2012,2718
2013,3463
2014,2982
2015,2624
2016,2911
2017,2601
2018,2527
2019,2742
2020,2689
2021,2637